Code,JavaDoc,Package
"public Integer getAnswerId() {
        return this.data.answerId().get(); // We can safely call get() here because the answerId is always present
    }","/**
     * Gets the answer id of this poll answer.
     *
     * @return the answer id of this poll answer
     */",discord4j.core.object.entity.poll
"@Nonnull
        @Override
        DataObject toData();","/**
         * The raw JSON object that was parsed from this update
         *
         * @return The raw JSON object
         */",net.dv8tion.jda.api.hooks
"@Override
    public MemberData getMemberData() {
        return (MemberData) super.getMemberData();
    }","/**
     * Gets the data of the member.
     *
     * @return The data of the member.
     */",discord4j.core.object.entity
"public long getRetryAfter()
    {
        return retryAfter;
    }","/**
     * The back-off delay in milliseconds that should be respected
     * before trying to query the {@link #getRateLimitedRoute() route} again
     *
     * @return The back-off delay in milliseconds
     */",net.dv8tion.jda.api.exceptions
"public LegacyWebhookEditSpec setChannel(@Nullable Snowflake id) {
        this.channelId = id == null ? Possible.absent() : Possible.of(id.asString());
        return this;
    }","/**
     * Sets the channel ID of the modified {@link Webhook}.
     *
     * @param id the new channel id this webhook should be moved to
     * @return This spec.
     */",discord4j.core.spec.legacy
"private Router getRouter() {
        return restClient.getRestResources().getRouter();
    }","/**
     * Return the {@link Router} tied to this instance to execute requests to Discord API.
     *
     * @return an abstraction to perform API requests
     */",discord4j.oauth2
"A unique string denoting the rate limit being encountered (non-inclusive of top-level resources in the path) */
    String HASH_HEADER = ""X-RateLimit-Bucket"";
    /** The number of seconds to wait before submitting another request */
    String RETRY_AFTER_HEADER = ""Retry-After"";
    /** Returned only on HTTP 429 responses. Value can be user (per bot or user limit), global (per bot or user global limit), or shared (per resource limit) */
    String SCOPE_HEADER = ""X-RateLimit-Scope"";

    /**
     * Enqueue a new request.
     *
     * <p>Use {@link Work#getRoute()}",/** Returned only on HTTP 429 responses if the rate limit encountered is the global rate limit (not per-route) */,net.dv8tion.jda.api.requests
"public Publisher<?> onInviteCreate(InviteCreateEvent event) {
        return Mono.empty();
    }","/**
     * Invoked when an invite to a channel is created.
     *
     * @param event the event instance
     * @return a {@link Publisher} that completes when this listener has done processing the event, for example,
     * returning any {@link Mono}, {@link Flux} or synchronous code using {@link Mono#fromRunnable(Runnable)}.
     */",discord4j.core.event
"@Deprecated
        public Builder setJitter(Jitter jitter) {
            this.jitter = jitter;
            return this;
        }","/**
         * Set the jitter function given by reactor-extra {@link Jitter} type. Defaults to 50% randomness.
         *
         * @param jitter a jitter function to apply on retries
         * @return this builder
         * @deprecated only select implementations will use this value. Moving forward, consider using
         * {@link #setJitterFactor(double)}}
         */",discord4j.common.retry
"public Mono<Message> getTargetMessage(EntityRetrievalStrategy retrievalStrategy) {
        return getClient().withRetrievalStrategy(retrievalStrategy)
                .getMessageById(getInteraction().getChannelId(), getTargetId());
    }","/**
     * Requests to retrieve the targeted Message.
     *
     * @param retrievalStrategy The strategy to use to get the target Message
     * @return A {@link Mono} where, upon successful completion, emits the {@link Message} targeted by the user.
     * If an error is received, it is emitted through the Mono.
     */",discord4j.core.event.domain.interaction
"public static final Route WEBHOOK_TOKEN_DELETE = Route.delete(""/webhooks/{webhook.id}/{webhook.token}"");","/**
     * Same as above, except this call does not require authentication.
     *
     * @see <a href=""https://discord.com/developers/docs/resources/webhook#delete-webhook-with-token"">
     * https://discord.com/developers/docs/resources/webhook#delete-webhook-with-token</a>
     */",discord4j.rest.route
"public static double getDouble(@Nonnull DataObject root, @Nonnull String path)
    {
        Double doubleValue = get(root, path, DataObject::getDouble, DataArray::getDouble);
        if (doubleValue == null)
            pathError(path, ""double"");
        return doubleValue;
    }","/**
     * Parses the given {@code path} and finds the appropriate value within this {@link DataObject}.
     * <br>If the resulting value is a string, this will parse the string using {@link Double#parseDouble(String)}.
     *
     * @param  root
     *         The root data object, which is the top level accessor.
     *         <br>The very first element in the path corresponds to a field of that name within this root object.
     * @param  path
     *         The path of the value, in accordance with the described grammar by {@link DataPath}.
     *         This must start with a name element, such as {@code ""foo""}.
     *
     * @throws ParsingException
     *         If the path is invalid or resolving fails due to missing elements
     * @throws IndexOutOfBoundsException
     *         If any of the elements in the path refer to an array index that is out of bounds
     * @throws IllegalArgumentException
     *         If null is provided or the path is empty
     *
     * @return The double value at the given path
     */",net.dv8tion.jda.api.utils.data
"@Nullable
    public ImageProxy getNewIcon()
    {
        final String newIconUrl = getNewIconUrl();
        return newIconUrl == null ? null : new ImageProxy(newIconUrl);
    }","/**
     * Returns an {@link ImageProxy} for this guild's new icon.
     *
     * @return Possibly-null {@link ImageProxy} of this guild's new icon
     *
     * @see    #getNewIconUrl()
     */",net.dv8tion.jda.api.events.guild.update
"public Optional<Attachment> getAttachment(Snowflake attachmentId) {
        return data.attachments().toOptional()
                .map(attachments -> attachments.get(attachmentId.asString()))
                .map(data -> new Attachment(gateway, data));
    }","/**
     * Gets the resolved attachment with the given ID, if present.
     *
     * @param attachmentId the ID of the attachment to get
     * @return the resolved attachment, if present
     */",discord4j.core.object.command
void setConnectionListener(@Nullable ConnectionListener listener);,"/**
     * Sets the {@link net.dv8tion.jda.api.audio.hooks.ConnectionListener ConnectionListener} for this AudioManager.
     * It will be informed about meta data of any audio connection established through this AudioManager.
     * Further information can be found in the {@link net.dv8tion.jda.api.audio.hooks.ConnectionListener ConnectionListener} documentation!
     *
     * @param listener
     *        A {@link net.dv8tion.jda.api.audio.hooks.ConnectionListener ConnectionListener} instance
     */",net.dv8tion.jda.api.managers
"@Nonnull
    @CheckReturnValue
    M setTagRequired(boolean requireTag);","/**
     * Sets the tag requirement state of this {@link IPostContainer}.
     * <br>If true, all new posts must have at least one tag.
     *
     * @param  requireTag
     *         The new tag requirement state for the selected {@link IPostContainer}
     *
     * @return ChannelManager for chaining convenience.
     *
     * @see    IPostContainer#isTagRequired()
     */",net.dv8tion.jda.api.managers.channel.attribute
"@Nonnull
    @CheckReturnValue
    GuildManager setIcon(@Nullable Icon icon);","/**
     * Sets the {@link net.dv8tion.jda.api.entities.Icon Icon} of this {@link net.dv8tion.jda.api.entities.Guild Guild}.
     *
     * @param  icon
     *         The new icon for this {@link net.dv8tion.jda.api.entities.Guild Guild}
     *         or {@code null} to reset
     *
     * @return GuildManager for chaining convenience
     */",net.dv8tion.jda.api.managers
"default boolean isFromGuild()
    {
        return getGuild() != null;
    }","/**
     * Whether this interaction came from a {@link Guild}.
     * <br>This is identical to {@code getGuild() != null}
     *
     * @return True, if this interaction happened in a guild
     */",net.dv8tion.jda.api.interactions
"@Nonnull
    String getAsCodepoints();","/**
     * Converts the unicode name into codepoint notation like {@code U+1F602}.
     *
     * @return String containing the codepoint representation of the emoji
     */",net.dv8tion.jda.api.entities.emoji
"Route route = Route.custom(Method.PUT, ""guilds/{guild_id}/bans/{user_id}"");","/**
     * Create a route template for the with the {@link Method#POST POST} method.
     *
     * <p>Route syntax should include valid argument placeholders of the format: {@code '{' argument_name '}'}
     * <br>The rate-limit handling in JDA relies on the correct names of major parameters:
     * <ul>
     *     <li>{@code channel_id} for channel routes</li>
     *     <li>{@code guild_id} for guild routes</li>
     *     <li>{@code webhook_id} for webhook routes</li>
     *     <li>{@code interaction_token} for interaction routes</li>
     * </ul>
     *
     * For example, to compose the route to create a message in a channel:
     * <pre>{@code
     * Route route = Route.custom(Method.POST, ""channels/{channel_id}/messages"");
     * }</pre>
     *
     * <p>To compile the route, use {@link #compile(String...)} with the positional arguments.
     * <pre>{@code
     * Route.CompiledRoute compiled = route.compile(channelId);
     * }</pre>
     *
     * @param  route
     *         The route template with valid argument placeholders
     *
     * @throws IllegalArgumentException
     *         If null is provided or the route is invalid (containing spaces or empty)
     *
     * @return The custom route template
     */",net.dv8tion.jda.api.requests
"public LegacyGuildPruneSpec setComputePruneCount(boolean enable) {
        map.set(""compute_prune_count"", enable);
        return this;
    }","/**
     * Set whether the number of pruned members is returned when this actions completes. By default this is enabled,
     * but this is discouraged on large guilds so you can set it to {@code false}.
     *
     * @param enable whether the pruned total is returned, if {@code false}, the prune action will eventually
     * complete with an empty {@link Mono}.
     * @return this spec
     */",discord4j.core.spec.legacy
"public static final Route TYPING_INDICATOR_TRIGGER = Route.post(""/channels/{channel.id}/typing"");","/**
     * Post a typing indicator for the specified channel. Generally bots should not implement this route. However, if a
     * bot is responding to a command and expects the computation to take a few seconds, this endpoint may be called to
     * let the user know that the bot is processing their message. Returns a 204 empty response on success. Fires a
     * Typing Start Gateway event.
     *
     * @see <a href=""https://discord.com/developers/docs/resources/channel#trigger-typing-indicator"">
     * https://discord.com/developers/docs/resources/channel#trigger-typing-indicator</a>
     */",discord4j.rest.route
"public Mono<AudioChannel> getChannel(EntityRetrievalStrategy retrievalStrategy) {
        return Mono.justOrEmpty(getChannelId())
                .flatMap(id -> gateway.withRetrievalStrategy(retrievalStrategy).getChannelById(id))
                .cast(AudioChannel.class);
    }","/**
     * Requests to retrieve the audio channel this user is connected to, if present, using the given retrieval strategy.
     *
     * @param retrievalStrategy the strategy to use to get the channel
     * @return A {@link Mono} where, upon successful completion, emits the {@link AudioChannel} this user is connected
     * to, if present. If an error is received, it is emitted through the {@code Mono}.
     */",discord4j.core.object
"@Nonnull
        public TextInputStyle getStyle()
        {
            return style;
        }","/**
         * The {@link TextInputStyle TextInputStyle}
         *
         * @return The TextInputStyle
         */",net.dv8tion.jda.api.interactions.components.text
"Mono<Void> onThreadListSync(int shardIndex, ThreadListSync dispatch);","/**
     * Updates the internal state of the store according to the given {@link ThreadListSync} gateway dispatch. This
     * will typically perform an update and delete operation on the related {@link ChannelData} and {@link ThreadMemberData}.
     *
     * @param shardIndex the index of the shard where the dispatch comes from
     * @param dispatch   the dispatch data coming from Discord gateway
     * @return a {@link Mono} completing when the operation is done
     */",discord4j.common.store.api.layout
"public RestRole restRole(Snowflake guildId, RoleData data) {
        return RestRole.create(this, guildId, Snowflake.of(data.id()));
    }","/**
     * Requests to retrieve the role represented by the supplied ID and {@link RoleData}.
     *
     * @param guildId The ID of the guild.
     * @param data The data of the role.
     * @return A {@link RestRole} as represented by the supplied parameters.
     */",discord4j.rest
"@Nonnull
    public List<Role> getOldRoles()
    {
        return getOldValue();
    }","/**
     * The old role whitelist
     *
     * @return The old role whitelist
     */",net.dv8tion.jda.api.events.emoji.update
"public Publisher<?> onPresenceUpdate(PresenceUpdateEvent event) {
        return Mono.empty();
    }","/**
     * Invoked when a user's presence or status has changed.
     *
     * @param event the event instance
     * @return a {@link Publisher} that completes when this listener has done processing the event, for example,
     * returning any {@link Mono}, {@link Flux} or synchronous code using {@link Mono#fromRunnable(Runnable)}.
     */",discord4j.core.event
"default Snowflake getGuildId() {
        return getData().guildId().toOptional()
                .map(Snowflake::of)
                .orElseThrow(IllegalStateException::new); // TODO
    }","/**
     * Gets the ID of the guild this channel is associated to.
     *
     * @return The ID of the guild this channel is associated to.
     */",discord4j.core.object.entity.channel
"@Nonnull
    @CheckReturnValue
    WebhookAction setAvatar(@Nullable Icon icon);","/**
     * Sets the <b>Avatar</b> for the custom Webhook User
     *
     * @param  icon
     *         An {@link net.dv8tion.jda.api.entities.Icon Icon} for the new avatar.
     *         Or null to use default avatar.
     *
     * @return The current WebhookAction for chaining convenience.
     */",net.dv8tion.jda.api.requests.restaction
"@Nonnull
    AccountManager getManager();","/**
     * The {@link AccountManager AccountManager}
     * for the currently logged in account.
     * <br>This can be used to atomically set account fields (like avatar/username)
     * You modify multiple fields in one request by chaining setters before calling {@link net.dv8tion.jda.api.requests.RestAction#queue() RestAction.queue()}.
     *
     * @return An AccountManager instance for the current account
     */",net.dv8tion.jda.api.entities
"public String getDiscordBaseUrl() {
        return discordBaseUrl;
    }","/**
     * Returns the base url of the Discord API.
     *
     * @return the configured discord api base url
     */",discord4j.rest.request
void connect(@Nonnull AudioChannel channel);,"/**
     * Requests a voice server endpoint for connecting to the voice gateway.
     *
     * @param channel
     *        The channel to connect to
     *
     * @see   #reconnect(AudioChannel)
     */",net.dv8tion.jda.api.managers
"@Nonnull
    public List<ForumTag> getAddedTags()
    {
        List<ForumTag> newTags = new ArrayList<>(getNewTags());
        newTags.removeAll(getOldTags());
        return newTags;
    }","/**
     * The newly added tags.
     *
     * <p>This requires {@link net.dv8tion.jda.api.utils.cache.CacheFlag#FORUM_TAGS CacheFlag.FORUM_TAGS} to be enabled.
     *
     * @return The tags that were added to the post
     */",net.dv8tion.jda.api.events.channel.update
Flux<VoiceStateData> getVoiceStates();,"/**
     * Retrieves data for all voice states present in the store.
     *
     * @return A {@link Flux} emitting the voice states, or empty if none is present
     */",discord4j.common.store.api.layout
"boolean canRead(@Nullable Class<?> type, @Nullable String contentType);","/**
     * Whether the given object type is supported by this reader.
     *
     * @param type the type of object to check
     * @param contentType the content type for the read
     * @return {@code true} if readable, {@code false} otherwise
     */",discord4j.rest.http
int getMinLength();,"/**
     * The minimum amount of characters that must be written to submit the Modal.
     *
     * <p><b>This is -1 if no length has been set!</b>
     *
     * @return The minimum length of this TextInput component or -1
     */",net.dv8tion.jda.api.interactions.components.text
"public boolean isSelfDeaf() {
        return data.selfDeaf();
    }","/**
     * Gets whether this user is locally deafened.
     *
     * @return {@code true} if this user is locally deafened, {@code false} otherwise.
     */",discord4j.core.object
"default boolean hasAccess(@Nonnull GuildChannel channel)
    {
        Checks.notNull(channel, ""Channel"");
        return channel.getType().isAudio()
                ? hasPermission(channel, Permission.VOICE_CONNECT, Permission.VIEW_CHANNEL)
                : hasPermission(channel, Permission.VIEW_CHANNEL);
    }","/**
     * Checks whether or not this PermissionHolder has {@link Permission#VIEW_CHANNEL VIEW_CHANNEL}
     * and {@link Permission#VOICE_CONNECT VOICE_CONNECT} permissions in the {@link GuildChannel}.
     *
     * @param  channel
     *         The channel to check access for
     *
     * @throws IllegalArgumentException
     *         If null is provided
     *
     * @return True, if the PermissionHolder has access
     */",net.dv8tion.jda.api.entities
"String sanitized = MarkdownSanitizer.escape(input, ~MarkdownSanitizer.ITALICS_U);","/**
     * Escapes already existing italics (with underscore) regions in the input
     * and applies italics formatting to the entire string.
     * <br>The resulting string will be {@code ""_"" + escaped(input) + ""_""}.
     *
     * @param  input
     *         The input to italics
     *
     * @return The resulting output
     */",net.dv8tion.jda.api.utils
"public LegacyGuildEditSpec setSplash(@Nullable Image splash) {
        requestBuilder.splash(Possible.of(Optional.ofNullable(splash).map(Image::getDataUri)));
        return this;
    }","/**
     * Sets the image for the guild splash (when the server has the INVITE_SPLASH feature).
     *
     * @param splash The image for the guild splash.
     * @return This spec.
     */",discord4j.core.spec.legacy
"public static int getUnsignedInt(@Nonnull DataArray root, @Nonnull String path, int fallback)
    {
        Integer integer = get(root, path, (obj, key) -> obj.getUnsignedInt(key, fallback), (arr, index) -> arr.getUnsignedInt(index, fallback));
        return integer == null ? fallback : integer;
    }","/**
     * Parses the given {@code path} and finds the appropriate value within this {@link DataArray}.
     * <br>If the resulting value is a string, this will parse the string using {@link Integer#parseUnsignedInt(String)}.
     *
     * @param  root
     *         The root data array, which is the top level accessor.
     *         <br>The very first element in the path corresponds to a field of that name within this root object.
     * @param  path
     *         The path of the value, in accordance with the described grammar by {@link DataPath}.
     *         This must start with an index element, such as {@code ""[0]""}.
     *
     * @throws ParsingException
     *         If the path is invalid or resolving fails due to missing elements
     * @throws IndexOutOfBoundsException
     *         If any of the elements in the path refer to an array index that is out of bounds
     * @throws IllegalArgumentException
     *         If null is provided or the path is empty
     *
     * @return The unsigned int value at the given path, returning the fallback if the path resolves to an optional value that is missing.
     */",net.dv8tion.jda.api.utils.data
"default Mono<ThreadChannel> startPublicThreadWithMessage(Message message, StartThreadFromMessageSpec spec) {
        return getRestChannel().startThreadFromMessage(message.getId().asLong(), spec.asRequest())
            .map(data -> new ThreadChannel(getClient(), data));
    }","/**
     * Start a new public thread that is connected to an existing message. Properties specifying how to create the thread
     * can be set via the {@link StartThreadFromMessageSpec} specifier.
     *
     * @param message the message to start the thread with
     * @param spec the properties to create the thread with
     * @return A {@link Mono} where, upon successful completion, emits the created {@link ThreadChannel}.
     * If an error is received, it is emitted through the {@link Mono}.
     */",discord4j.core.object.entity.channel
"@Nonnull
    @Override
    String getName();","/**
     * The human-readable name of this channel.
     *
     * <p>If getUser returns null, this method will return an empty String.
     * This happens when JDA does not have enough information to populate the channel name.
     *
     * <p>This will occur only when {@link #getUser()} is null, and the reasons are given in {@link #getUser()}
     *
     * <p>If the channel name is important, {@link #retrieveUser()} should be used, instead.
     *
     * @return The name of this channel
     *
     * @see #retrieveUser()
     * @see #getUser()
     */",net.dv8tion.jda.api.entities.channel.concrete
"public Map<Locale, String> getLocalizedNames() {
        return Possible.flatOpt(data.nameLocalizations())
                .orElse(Collections.emptyMap())
                .entrySet().stream()
                .collect(Collectors.toMap(entry -> new Locale.Builder().setLanguageTag(entry.getKey()).build(),
                        Map.Entry::getValue));
    }","/**
     * Gets the Locale and name of this choice.
     *
     * @return The locales and names of this choice.
     */",discord4j.core.object.command
"<D, S, E extends Event> Mono<E> handle(DispatchContext<D, S> context);","/**
     * Process a {@link DispatchContext} to potentially obtain an {@link Event}.
     *
     * @param context the DispatchContext used with this Dispatch object
     * @param <D> the Dispatch type
     * @param <E> the resulting Event type
     * @return a {@link Mono} of {@link Event} mapped from the given {@link DispatchContext} object, or empty if no
     * Event is produced. If an error occurs during processing, it is emitted through the {@code Mono}.
     */",discord4j.core.event.dispatch
"@Nonnull
    public static OffsetDateTime getTimeCreated(@Nonnull ISnowflake entity)
    {
        Checks.notNull(entity, ""Entity"");
        return getTimeCreated(entity.getIdLong());
    }","/**
     * Gets the creation-time of a JDA-entity by doing the reverse snowflake algorithm on its id.
     * This returns the creation-time of the actual entity on Discords side, not inside JDA.
     *
     * @param  entity
     *         The JDA entity where the creation-time should be determined for
     *
     * @throws IllegalArgumentException
     *         If the provided entity is {@code null}
     *
     * @return The creation time of the JDA entity as OffsetDateTime
     */",net.dv8tion.jda.api.utils
"public Builder setBackoffScheduler(Scheduler backoffScheduler) {
            this.backoffScheduler = backoffScheduler;
            return this;
        }","/**
         * Set the {@link Scheduler} to be used when building delayed sequences as backoff. Defaults to dedicated
         * parallel scheduler {@link #DEFAULT_BACKOFF_SCHEDULER}.
         *
         * @param backoffScheduler a reactor scheduler used for backoff delays
         * @return this builder
         */",discord4j.common.retry
"public Instant getStartTime() {
        return startTime;
    }","/**
     * Gets the time at which the {@link User} started typing in this event.
     *
     * @return The time at which the {@link User} starting typing.
     */",discord4j.core.event.domain.channel
boolean isDone();,"/**
         * Whether the request is completed.
         * <br>This means you should not try using {@link #execute()} again.
         *
         * @return True, if the request has completed.
         */",net.dv8tion.jda.api.requests
"public Optional<Instant> getExpiration() {
        final int maxAge = getData().maxAge().toOptional().orElseThrow(IllegalStateException::new);
        return maxAge > 0 ? Optional.of(getCreation().plus(maxAge, ChronoUnit.SECONDS)): Optional.empty();
    }","/**
     * Gets the instant this invite expires, if possible.
     *
     * @return The instant this invite expires, if empty, invite is never expiring.
     */",discord4j.core.object
Flux<EmojiData> getEmojis();,"/**
     * Retrieves data for all emojis present in the store.
     *
     * @return A {@link Flux} emitting the emojis, or empty if none is present
     */",discord4j.common.store.api.layout
"public List<Snowflake> getBannedUserIds() {
        return data.bannedUsers().stream().map(Snowflake::of).collect(Collectors.toList());
    }","/**
     * Gets the successful banned users ids.
     *
     * @return A list with all the user ids.
     */",discord4j.core.object
"@Nullable
        Activity getActivity();","/**
         * The game that the member is currently playing.
         * <br>This game cannot be a stream.
         * If the user is not currently playing a game, this will return null.
         *
         * @return Possibly-null {@link net.dv8tion.jda.api.entities.Activity Activity} containing the game
         *         that the member is currently playing.
         */",net.dv8tion.jda.api.entities
"public Publisher<?> onSelectMenuInteraction(SelectMenuInteractionEvent event) {
        return Mono.empty();
    }","/**
     * Invoked when a user interacts with a select menu.
     *
     * @param event the event instance
     * @return a {@link Publisher} that completes when this listener has done processing the event, for example,
     * returning any {@link Mono}, {@link Flux} or synchronous code using {@link Mono#fromRunnable(Runnable)}.
     */",discord4j.core.event
"public static final Route GUILD_ONBOARDING_MODIFY = Route.put(""/guilds/{guild.id}/onboarding"");","/**
     * Modifies the onboarding configuration of the guild. Returns a 200 with the Onboarding object for the guild. Requires the MANAGE_GUILD and MANAGE_ROLES permissions.
     * This endpoint supports the X-Audit-Log-Reason header.
     *
     * @see <a href=""https://discord.com/developers/docs/resources/guild#modify-guild-onboarding"">https://discord.com/developers/docs/resources/guild#modify-guild-onboarding</a>
     */",discord4j.rest.route
"public static String forChannel(final Snowflake id) {
        return ""<#"" + id.asString() + "">"";
    }","/**
     * Gets a <i>raw</i> mention for a {@link Channel}.
     *
     * <p>This is the format utilized to directly mention another channel.</p>
     *
     * @param id The id of the channel to mention.
     * @return The <i>raw</i> mention.
     */",discord4j.core.util
"public static JacksonResources createFromObjectMapper(ObjectMapper objectMapper) {
        return new JacksonResources(INITIALIZER.andThen(HANDLE_UNKNOWN_PROPERTIES).apply(objectMapper));
    }","/**
     * Create based on {@link ObjectMapper} applying on it all changes required for Discord4J related operations.
     */",discord4j.common
"public static Snowflake of(final Id id) {
        return new Snowflake(id.asLong());
    }","/**
     * Constructs a {@code Snowflake} utilizing a discord-json {@link Id}.
     *
     * @param id The ID to construct a {@code Snowflake}
     * @return A constructed {@code Snowflake} with the given ID
     */",discord4j.common.util
"@Nonnull
    public List<Role> getNewRoles()
    {
        return getNewValue();
    }","/**
     * The new role whitelist
     *
     * @return The new role whitelist
     */",net.dv8tion.jda.api.events.emoji.update
"@Nonnull
    default DiscordLocale getGuildLocale()
    {
        if (!isFromGuild())
            throw new IllegalStateException(""This interaction did not happen in a guild"");
        return getGuild().getLocale();
    }","/**
     * Returns the preferred language of the Guild.
     * <br>This is identical to {@code getGuild().getLocale()}.
     *
     * @throws IllegalStateException
     *         If this interaction is not from a guild. (See {@link #isFromGuild()})
     *
     * @return The preferred language of the Guild
     */",net.dv8tion.jda.api.interactions
int getBitrate();,"/**
     * The audio bitrate of the voice audio that is transmitted in this channel. While higher bitrates can be sent to
     * this channel, it will be scaled down by the client.
     * <br>Default and recommended value is 64000
     *
     * @return The audio bitrate of this audio channel.
     */",net.dv8tion.jda.api.entities.channel.middleman
"@Nonnull
    public CompletableFuture<Path> downloadToPath(@Nonnull Path path, int width, int height)
    {
        Checks.notNull(path, ""Path"");

        return downloadToPath(getUrl(width, height), path);
    }","/**
     * Downloads the data of this attachment, at the specified size, and stores it in the specified file.
     * <br>The attachment, if an image, may be resized at any size, however if the size does not fit the ratio of the image, then it will be cropped as to fit the target size.
     * <br>If the attachment is not an image then the size parameters are ignored and the file is downloaded.
     *
     * <p><b>Implementation note:</b>
     *       The file is first downloaded into a temporary file, the file is then moved to its real destination when the download is complete.
     *       <br>The given path can also target filesystems such as a ZIP filesystem.
     *
     * @param  path
     *         The file in which to download the image
     * @param  width
     *         The width of this image, must be positive
     * @param  height
     *         The height of this image, must be positive
     *
     * @throws IllegalArgumentException
     *         If any of the follow checks are true
     *         <ul>
     *             <li>The target path is null</li>
     *             <li>The parent folder of the target path does not exist</li>
     *             <li>The target path exists and is not a {@link Files#isRegularFile(Path, LinkOption...) regular file}</li>
     *             <li>The target path exists and is not {@link Files#isWritable(Path) writable}</li>
     *             <li>The requested width is negative or 0</li>
     *             <li>The requested height is negative or 0</li>
     *         </ul>
     *
     * @return {@link CompletableFuture} which holds a {@link Path}, it is the same as the path passed in the parameters.
     */",net.dv8tion.jda.api.utils
"public int getGuildAvailableCount()
    {
        return availableGuilds;
    }","/**
     * Number of available guilds for this session.
     * <br>When discord fails to connect guilds for our gateway session they will not be in cache here yet
     * but instead will fire a {@link net.dv8tion.jda.api.events.guild.GuildReadyEvent GuildReadyEvent} later.
     *
     * @return Number of available guilds for this session
     *
     * @see    #getGuildTotalCount()
     * @see    #getGuildUnavailableCount()
     */",net.dv8tion.jda.api.events.session
"static EventDispatcher replaying() {
        return ReplayingEventDispatcher.create();
    }","/**
     * Create an {@link EventDispatcher} that is capable of replaying up to 2 minutes worth of important events like
     * {@link GuildCreateEvent} and {@link GatewayLifecycleEvent} that arrive while no subscribers are connected to
     * all late subscribers, as long as they subscribe within the replay window of 5 seconds. After the replay window
     * has closed, it behaves like an emitter event dispatcher.
     * <p>
     * This allows controlling the memory overhead of dispatchers like {@link #buffering()} while still keeping a record
     * of important events to all late subscribers, even after login has completed.
     * <p>
     * This dispatcher can be customized through the use of {@link ReplayingEventDispatcher#builder()}.
     *
     * @return an {@link EventDispatcher} that is capable of replaying events to late subscribers
     */",discord4j.core.event
"@Nonnull
    default String getImageUrl()
    {
        return String.format(ICON_URL, getId(), isAnimated() ? ""gif"" : ""png"");
    }","/**
     * A String representation of the URL which leads to image displayed within the official Discord&trade; client
     * when this emoji is used
     *
     * @return Discord CDN link to the emoji's image
     */",net.dv8tion.jda.api.entities.emoji
